Observation,Data_Marking,Observation_Type_Value,Dimension_Hierarchy_1,Dimension_Name_1,Dimension_Value_1,Dimension_Hierarchy_2,Dimension_Name_2,Dimension_Value_2,Dimension_Hierarchy_3,Dimension_Name_3,Dimension_Value_3,Dimension_Hierarchy_4,Dimension_Name_4,Dimension_Value_4
1481713,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000883,CL_0000737,Prodcom Elements,CI_0021517
591156,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000884,CL_0000737,Prodcom Elements,CI_0021509
58903,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000884,CL_0000737,Prodcom Elements,CI_0021510
650059,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000884,CL_0000737,Prodcom Elements,CI_0021511
-287528,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000884,CL_0000737,Prodcom Elements,CI_0021516
2592036,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008288,CL_0000737,Prodcom Elements,CI_0021509
573091,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008288,CL_0000737,Prodcom Elements,CI_0021510
3165127,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008288,CL_0000737,Prodcom Elements,CI_0021511
744556,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008288,CL_0000737,Prodcom Elements,CI_0021512
7061,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008288,CL_0000737,Prodcom Elements,CI_0021513
781,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008288,CL_0000737,Prodcom Elements,CI_0021514
18725,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008288,CL_0000737,Prodcom Elements,CI_0021515
238497,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008288,CL_0000737,Prodcom Elements,CI_0021516
4174747,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008288,CL_0000737,Prodcom Elements,CI_0021517
536605,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000826,CL_0000737,Prodcom Elements,CI_0021509
529244,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000826,CL_0000737,Prodcom Elements,CI_0021510
1065848,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000826,CL_0000737,Prodcom Elements,CI_0021511
10362,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000826,CL_0000737,Prodcom Elements,CI_0021512
61224,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000826,CL_0000737,Prodcom Elements,CI_0021513
-585967,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000826,CL_0000737,Prodcom Elements,CI_0021516
560548,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000826,CL_0000737,Prodcom Elements,CI_0021517
161559,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008352,CL_0000737,Prodcom Elements,CI_0021509
0,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008352,CL_0000737,Prodcom Elements,CI_0021513
10,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008352,CL_0000737,Prodcom Elements,CI_0021515
-319851,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008352,CL_0000737,Prodcom Elements,CI_0021516
7759866,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008355,CL_0000737,Prodcom Elements,CI_0021509
169155,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008355,CL_0000737,Prodcom Elements,CI_0021510
7929021,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008355,CL_0000737,Prodcom Elements,CI_0021511
1691805,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008355,CL_0000737,Prodcom Elements,CI_0021512
50487,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008355,CL_0000737,Prodcom Elements,CI_0021515
674862,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008355,CL_0000737,Prodcom Elements,CI_0021516
10513949,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008355,CL_0000737,Prodcom Elements,CI_0021517
681158,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008385,CL_0000737,Prodcom Elements,CI_0021509
59,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008385,CL_0000737,Prodcom Elements,CI_0021510
681216,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008385,CL_0000737,Prodcom Elements,CI_0021511
18977,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008385,CL_0000737,Prodcom Elements,CI_0021512
1624,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008385,CL_0000737,Prodcom Elements,CI_0021515
-305216,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008385,CL_0000737,Prodcom Elements,CI_0021516
396866,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008385,CL_0000737,Prodcom Elements,CI_0021517
3881036,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008387,CL_0000737,Prodcom Elements,CI_0021509
146597,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008387,CL_0000737,Prodcom Elements,CI_0021512
9127,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008387,CL_0000737,Prodcom Elements,CI_0021514
6640,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008387,CL_0000737,Prodcom Elements,CI_0021515
-346460,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008387,CL_0000737,Prodcom Elements,CI_0021516
3777773,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008387,CL_0000737,Prodcom Elements,CI_0021517
68664,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008409,CL_0000737,Prodcom Elements,CI_0021509
256625,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008409,CL_0000737,Prodcom Elements,CI_0021510
325290,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008409,CL_0000737,Prodcom Elements,CI_0021511
578449,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008409,CL_0000737,Prodcom Elements,CI_0021516
6270370,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008425,CL_0000737,Prodcom Elements,CI_0021509
10912,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008425,CL_0000737,Prodcom Elements,CI_0021510
6281282,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008425,CL_0000737,Prodcom Elements,CI_0021511
216356,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008425,CL_0000737,Prodcom Elements,CI_0021512
1079,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008425,CL_0000737,Prodcom Elements,CI_0021513
4981,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008425,CL_0000737,Prodcom Elements,CI_0021514
16566,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008425,CL_0000737,Prodcom Elements,CI_0021515
1020159,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008425,CL_0000737,Prodcom Elements,CI_0021516
7540423,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008425,CL_0000737,Prodcom Elements,CI_0021517
3547663,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008428,CL_0000737,Prodcom Elements,CI_0021509
759307,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008428,CL_0000737,Prodcom Elements,CI_0021510
4306970,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008428,CL_0000737,Prodcom Elements,CI_0021511
77243,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008428,CL_0000737,Prodcom Elements,CI_0021512
0,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008428,CL_0000737,Prodcom Elements,CI_0021513
2861,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008428,CL_0000737,Prodcom Elements,CI_0021514
4429,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008428,CL_0000737,Prodcom Elements,CI_0021515
-693701,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008428,CL_0000737,Prodcom Elements,CI_0021516
3697802,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008428,CL_0000737,Prodcom Elements,CI_0021517
31852,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008441,CL_0000737,Prodcom Elements,CI_0021509
19053,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008441,CL_0000737,Prodcom Elements,CI_0021512
0,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008441,CL_0000737,Prodcom Elements,CI_0021513
0,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008441,CL_0000737,Prodcom Elements,CI_0021514
106859,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008441,CL_0000737,Prodcom Elements,CI_0021516
159162,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008441,CL_0000737,Prodcom Elements,CI_0021517
0,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008445,CL_0000737,Prodcom Elements,CI_0021509
